"LOC_ID","Gene_Symbol","Description"
"LOC105393152","LOC105393152","pseudouridine-5'-phosphatase"
"LOC105393177","LOC105393177","aminomethyltransferase, mitochondrial"
"LOC105393144","LOC105393144","UDP-glucosyltransferase 2"
"LOC119690826","LOC119690826","UDP-glucosyltransferase 2"
"LOC119690800","LOC119690800","uncharacterized LOC119690800"
"LOC125488767","LOC125488767","uncharacterized LOC125488767"
"LOC125488816","LOC125488816","zinc finger BED domain-containing protein 4-like"
"LOC105382967","Tmlh","Trimethyllysine hydroxylase"
"LOC105394699","LOC105394699","cytochrome P450 6B5-like"
"LOC105394086","LOC105394086","GATOR complex protein NPRL2"
"LOC105393734","LOC105393734","protein lethal(2)essential for life"
"LOC119693029","CPH43","cuticular protein hypothetical 43"
"LOC119693079","LOC119693079","prostaglandin reductase 1"
"LOC105392058","Pdxk","pyridoxal kinase"
"LOC105395214","CYP354A1","cytochrome P450 9e2-like"
"LOC119693069","Agxt","Alanine-glyoxylate aminotransferase"
"LOC105383038","LOC105383038","UDP-glycosyltransferase UGT5"
"LOC105384475","Gart","trifunctional purine biosynthetic protein adenosine-3 Gart"
"LOC105380335","LOC105380335","NFX1-type zinc finger-containing protein 1"
"LOC105383154","LOC105383154","uncharacterized LOC105383154"
"LOC105392958","LOC105392958","putative inorganic phosphate cotransporter"
"LOC105392970","LOC105392970","putative inorganic phosphate cotransporter"
"LOC105393533","LOC105393533","putative inorganic phosphate cotransporter"
"LOC119691146","LOC119691146","uncharacterized LOC119691146"
"LOC105383066","LOC105383066","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
"LOC119694378","LOC119694378","uncharacterized LOC119694378"
"LOC105382150","LOC105382150","odorant receptor 4-like"
"LOC105393123","LOC105393123","uncharacterized LOC105393123"
"LOC105393129","LOC105393129","putative sodium-dependent multivitamin transporter"
"LOC105391885","LOC105391885","bifunctional purine biosynthesis protein ATIC"
"LOC105383334","LOC105383334","fibrillin-1"
"LOC105398573","LOC105398573","alkylglycerol monooxygenase"
"LOC105386601","BckdhB","Branched chain keto acid dehydrogenase E1 subunit beta"
"LOC105380386","LOC105380386","ester hydrolase C11orf54 homolog"
"LOC105386930","Dronc","Death regulator Nedd2-like caspase"
"LOC105382956","LOC105382956","uncharacterized LOC105382956"
"LOC105392161","DNApol-eta","DNA polymerase eta"
"LOC105394192","LOC105394192","23 kDa integral membrane protein"
"LOC105388816","Nos","Nitric oxide synthase"
"LOC105382419","LOC105382419","troponin C"
"LOC105389675","LOC105389675","aquaporin-like"
"LOC105381535","LOC105381535","peroxisomal acyl-coenzyme A oxidase 3"
"LOC105385639","Aldh7A1","aldehyde dehydrogenase 7 family member A1"
"LOC105391178","LOC105391178","uncharacterized LOC105391178"
"LOC125489129","LOC125489129","uncharacterized LOC125489129"
"LOC105397679","LOC105397679","uncharacterized LOC105397679"
"LOC105390045","larp","La related protein"
"LOC105398815","Gtsf1","gametocyte-specific factor 1"
"LOC105392933","LOC105392933","gelsolin-like"
"LOC105390031","IFT43","intraflagellar transport 43"
"LOC105387843","LOC105387843","integrin alpha-PS3"
"LOC119693987","LOC119693987","triokinase/FMN cyclase"
"LOC105381582","LOC105381582","uncharacterized LOC105381582"
"LOC105382860","ry","xanthine dehydrogenase rosy"
"LOC105384189","LOC105384189","muscle-specific protein 20"
"LOC125489233","LOC125489233","uncharacterized LOC125489233"
"LOC105390077","Pgm2a","phosphoglucomutase 2"
"LOC119691468","LOC119691468","uncharacterized LOC119691468"
"LOC105391710","MRP","Multidrug-Resistance like Protein 1"
"LOC105383934","LOC105383934","uncharacterized protein K02A2.6-like"
"LOC105386796","Tsp97E","Tetraspanin 97E"
"LOC105385220","LOC105385220","uncharacterized LOC105385220"
"LOC105384703","SpdS","Spermidine Synthase"
"LOC105396550","Ccdc85","coiled-coil domain-containing protein 85"
"LOC105390386","LOC105390386","acyl-CoA Delta-9 desaturase"
"LOC105384441","LOC105384441","uncharacterized LOC105384441"
"LOC119693642","LOC119693642","uncharacterized LOC119693642"
"LOC105387574","LOC105387574","glycine N-methyltransferase"
"LOC105392519","Urod","uroporphyrinogen decarboxylase"
"LOC105387770","Pp","paralytic peptide"
"LOC105397953","Bcat","Branched chain amino acid transaminase"
"LOC105389511","LOC105389511","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase"
"LOC105385647","LOC105385647","immunoglobulin superfamily member 10"
"LOC105381226","fat-spondin","extracellular matrix protein f-spondin"
"LOC125489452","LOC125489452","uncharacterized LOC125489452"
"LOC105396641","LOC105396641","esterase FE4"
"LOC105395364","Ubr1","Ubr1 ubiquitin ligase"
"LOC105380941","vermilion","Tryptophan 2,3-dioxygenase vermilion"
"LOC119694367","Fa","FMRFamide"
"LOC119694321","LOC119694321","telomere length and silencing protein 1 homolog"
"LOC119693967","LOC119693967","uncharacterized LOC119693967"
"LOC125489422","LOC125489422","uncharacterized LOC125489422"
"LOC105380021","LOC105380021","torso-like protein"
"LOC125489525","LOC125489525","uncharacterized LOC125489525"
"LOC105384146","LOC105384518","uncharacterized LOC105384518"
"LOC105388197","LOC105388197","beta-1,4-glucuronyltransferase 1"
"LOC105387650","LOC105387650","cytochrome b5"
"LOC105398638","LOC105398638","delta-aminolevulinic acid dehydratase"
"LOC105393713","Paics","PAICS bifunctional enzyme"
"LOC105398645","LOC105398645","amidophosphoribosyltransferase"
"LOC105393719","PsGEF","Protostome-specific GEF"
"LOC105386564","LOC105386564","retinol dehydrogenase 14"
"LOC105388392","LOC105388392","uncharacterized LOC105388392"
"LOC105386122","LOC105386122","kynurenine formamidase"
"LOC105391222","arg","arginase"
"LOC105386745","LOC105386745","inosine-uridine preferring nucleoside hydrolase"
"LOC105386751","ace1","acetylcholinesterase type 1"
"LOC105390452","LOC105390452","protein hunchback"
"LOC105381431","CAHbeta","carbonic anhydrase beta"
"LOC105386990","LOC105386990","ATP-binding cassette sub-family C member 4"
"LOC105386992","LOC105386992","probable multidrug resistance-associated protein lethal(2)03659"
"LOC105388339","LOC105388339","ATP-binding cassette sub-family C member 4"
"LOC105389954","LOC105389954","ATP-binding cassette subfamily C member 4"
"LOC105388548","Mccc1","Methylcrotonoyl-CoA carboxylase 1"
"LOC105397175","Hao","Hydroxyacid oxidase"
"LOC105387746","Uggt","UDP-glucose-glycoprotein glucosyltransferase"
"LOC105395867","LOC105395867","uncharacterized LOC105395867"
"LOC105389705","Gata-beta","transcription factor BCFI"
"LOC119691238","LOC119691238","thialysine N-epsilon-acetyltransferase"
"LOC119693854","LOC119693854","apolipophorin-3"
"LOC105389938","LOC105389938","nose resistant to fluoxetine protein 6"
"LOC105384151","LOC105384151","inositol oxygenase"
"LOC105391380","LOC105391380","NPC intracellular cholesterol transporter 2"
"LOC105391568","LOC105391568","ceramide synthase 5"
"LOC105382262","LOC105382262","TLC domain-containing protein 3A"
"LOC105395163","LOC105395163","fructose-bisphosphate aldolase"
"LOC119693861","LOC119693861","uncharacterized LOC119693861"
"LOC105390057","LOC105390057","luciferin 4-monooxygenase"
"LOC125488433","LOC125488433","glucose dehydrogenase [FAD, quinone]-like"
"LOC105393550","LOC105393550","cytosolic 10-formyltetrahydrofolate dehydrogenase"
"LOC119693811","LOC119693811","T-box transcription factor TBX1"
"LOC119693831","LOC119693831","lysosomal acid glucosylceramidase"
"LOC105386494","LOC105386494","cytochrome P450 6B6"
"LOC105386467","LOC105386467","cytochrome P450 6B6"
"LOC105386407","LOC105386407","uncharacterized LOC105386407"
"LOC105386376","NTPase","ectonucleoside triphosphate diphosphohydrolase NTPase"
"LOC119692443","LOC119692443","uncharacterized LOC119692443"
"LOC105381763","Shmt","serine hydroxymethyl transferase"
"LOC105398484","ema","C-type lectin domain containing ema"
"LOC119691473","LOC119691473","NADH-ubiquinone oxidoreductase subunit 8-like"
"LOC105390290","LOC105390290","prominin-like protein"
"LOC105390280","LOC105390280","sodium-independent sulfate anion transporter"
"LOC105395772","LOC105395772","L-xylulose reductase"
"LOC105395794","LOC105395794","L-xylulose reductase"
"LOC105395554","Sqor","Sulfide quinone oxidoreductase"
"LOC105383139","LOC105383139","zinc-type alcohol dehydrogenase-like protein SERP1785"
"LOC105389265","LOC105389265","putative inorganic phosphate cotransporter"
"LOC105391891","Adsl","adenylosuccinate lyase"
"LOC105388970","LOC105388970","multiple inositol polyphosphate phosphatase 1"
"LOC105390410","LOC105390410","probable low-specificity L-threonine aldolase 2"
"LOC125489805","LOC125489805","uncharacterized LOC125489805"
"LOC105383183","LOC105383183","peptidyl-tRNA hydrolase ICT1, mitochondrial"
"LOC125489782","LOC125489782","uncharacterized LOC125489782"
"LOC105380836","LOC105380836","acyl-CoA:lysophosphatidylglycerol acyltransferase 1"
"LOC125489907","LOC125489907","rho-associated protein kinase 2-like"
"LOC105384357","LOC105384357","uncharacterized LOC105384357"
"LOC105386858","LOC105386858","uncharacterized LOC105386858"
"LOC105390366","LOC105390366","glycerophosphodiester phosphodiesterase GDPD6-like"
"LOC105384055","Eps-15","Epidermal growth factor receptor pathway substrate clone 15"
"LOC105384039","LOC105384039","3-ketoacyl-CoA thiolase, mitochondrial"
"LOC105380195","CPR17","cuticular protein RR-1 motif 17"
"LOC105392274","LOC105392274","nicalin"
"LOC105387814","AkhR","Adipokinetic hormone receptor"
"LOC105392008","Mthfs","methenyltetrahydrofolate synthetase"
"LOC105393182","CSP4","chemosensory protein 4"
"LOC105398103","LOC105398103","uncharacterized LOC105398103"
"LOC119691832","LOC119691832","arp2/3 complex-activating protein rickA"
"LOC105383939","Dhpr","dihydropteridine reductase"
"LOC105391396","LOC105391396","uncharacterized LOC105391396"
"LOC105395864","Rme-8","receptor mediated endocytosis 8"
"LOC105387948","Mccc2","methylcrotonyl-CoA carboxylase subunit 2"
"LOC105387959","LOC105387959","mitochondrial potassium channel ATP-binding subunit"
"LOC105389637","LOC105389637","synaptic vesicle glycoprotein 2B"
"LOC105390718","key","NF-kappa-B essential modulator kenny"
"LOC105384618","Acsf3","Acyl-CoA synthetase family member 3"
"LOC105380787","LOC105380787","5-oxoprolinase"
"LOC105388755","LOC105388755","arabinose-proton symporter"
"LOC105395547","LOC105395547","facilitated trehalose transporter Tret1"
"LOC105395872","LOC105395872","3-oxoacyl-[acyl-carrier-protein] reductase FabG"
"LOC105382888","LOC105382888","ribose-phosphate pyrophosphokinase 2-like"
"LOC125490163","LOC125490163","uncharacterized LOC125490163"
"LOC105393917","LOC105393917","lysine-specific histone demethylase 1A-like"
"LOC119690480","LOC119690480","glycogen debranching enzyme"
"LOC105382107","LOC105382107","esterase FE4"
"LOC125490333","LOC125490333","uncharacterized LOC125490333"
"LOC105389846","Dbct","Dihydrolipoamide branched chain transacylase E2"
"LOC105381413","LOC105381413","larval cuticle protein LCP-17"
"LOC105384156","LOC105384156","bombyxin B-1 homolog"
"LOC105393606","Pfas","phosphoribosylformylglycinamidine synthase"
"LOC105393603","LOC105393603","glycine dehydrogenase (decarboxylating), mitochondrial"
"LOC105389047","LOC105389047","mucin-5AC"
"LOC119694928","LOC119694928","probable cytochrome P450 6a18"
"LOC105388405","SCOT","Succinyl-CoA:3-ketoacid CoA transferase"
"LOC105395543","Ivd","isovaleryl coenzyme A dehydrogenase"
"LOC105380614","ABCB7","ATP binding cassette subfamily B member 7"
"LOC119694920","vg","transcription factor vestigial"
"LOC125490447","LOC125490447","uncharacterized LOC125490447"
"LOC105398214","LOC105398214","monocarboxylate transporter 10"
"LOC105390575","LOC105390575","uncharacterized protein K02A2.6-like"
"LOC105381551","BckdhA","Branched chain keto acid dehydrogenase E1 subunit alpha"
"LOC105386617","Jheh-lp1","juvenile hormone epoxide hydrolase-like protein 1"
"LOC119692533","sr","zinc finger domain-containg protein striped"
"LOC105386970","kar","monocarboxylate transporter 10-like protein kar"
"LOC105390761","P5CS","Delta[1]-pyrroline-5-carboxylate synthase"
"LOC105385153","LOC105385153","cytochrome c oxidase assembly protein COX15 homolog"
"LOC105389564","LOC105389564","3-oxoacyl-[acyl-carrier-protein] reductase FabG"
"LOC105397424","Roe1","grpE protein homolog, mitochondrial Roe1"
"LOC125490455","LOC125490455","phospholipid phosphatase 5-like"
"LOC105387456","Egm","acyl-CoA dehydrogenase family member enigma"
"LOC125490506","LOC125490506","uncharacterized LOC125490506"
"LOC105393670","LOC105393670","transferrin"
"LOC105389621","LOC105389621","serine hydrolase-like protein 2"
"LOC105387913","LOC105387913","juvenile hormone esterase"
"LOC105381850","LOC105381850","uncharacterized LOC105381850"
"LOC105381882","Chbp","chlorophyllide A binding protein"
"LOC119691019","LOC119691019","L-threonine ammonia-lyase"
"LOC105398349","Pcd","pterin-4a-carbinolamine dehydratase"
"LOC105382358","LOC105382358","cystathionine beta-synthase"
"LOC105382326","pug","pug C-1-tetrahydrofolate synthase, cytoplasmic"
"LOC119691021","pyx","transient receptor potential channel pyrexia"
"LOC105393621","LOC105393621","senecionine N-oxygenase"
"LOC105393620","LOC105393620","senecionine N-oxygenase"
"LOC105398525","Marc","Mitochondrial amidoxime reducing component"
"LOC105386986","TrpRS","Tryptophanyl-tRNA synthetase"
"LOC125490587","LOC125490587","uncharacterized LOC125490587"
"LOC119691065","fau","protein anoxia up-regulated protein fau"
"LOC105384843","alph","protein phosphatase alphabet"
"LOC105398361","LOC105398361","putative aminopeptidase W07G4.4"
"LOC119691998","LOC119691998","uncharacterized LOC119691998"
"LOC105393056","Osi17","DUF1676 domain-containing protein Osi17"
"LOC105390186","LOC105390186","uncharacterized LOC105390186"
"LOC105388303","LOC105388303","cytochrome P450 4C1"
"LOC105382518","LOC105382518","uncharacterized LOC105382518"
"LOC105389758","nst","phosphoglucomutase 3-like protein nst"
"LOC105392683","Sfxn1-3","Sideroflexin-1-3"
"LOC125490672","LOC125490672","uncharacterized LOC125490672"
"LOC105392370","P5cr-2","Pyrroline-5-carboxylate reductase-like 2"
"LOC105382643","onecut","homeobox protein onecut"
"LOC125490748","LOC125490748","trypsin CFT-1-like"
"LOC105391645","LOC105391645","trypsin CFT-1"
"LOC125490868","LOC125490868","uncharacterized LOC125490868"
"LOC105383907","NtR","neuronal acetylcholine receptor subunit NtR"
"LOC105391036","LOC105391036","WD repeat-containing protein 48 homolog"
"LOC105393331","LOC105393331","uncharacterized Golgi apparatus membrane protein-like protein CG5021"
"LOC105383734","LOC105383734","phospholipase A1"
"LOC105391545","LOC105391545","beta-1,3-glucan-binding protein"
"LOC105388933","Grina","glutamate [NMDA] receptor-associated protein 1"
"LOC105388934","mRpL52","mitochondrial ribosomal protein L52"
"LOC105386424","Zip48C","Zinc/iron regulated transporter-related protein 48C"
