"LOC_ID","Gene_Symbol","Description"
"LOC105393152","LOC105393152","pseudouridine-5'-phosphatase"
"LOC105393177","LOC105393177","aminomethyltransferase, mitochondrial"
"LOC105393144","LOC105393144","UDP-glucosyltransferase 2"
"LOC119690826","LOC119690826","UDP-glucosyltransferase 2"
"LOC119690800","LOC119690800","uncharacterized LOC119690800"
"LOC125488767","LOC125488767","uncharacterized LOC125488767"
"LOC125488816","LOC125488816","zinc finger BED domain-containing protein 4-like"
"LOC105382967","Tmlh","Trimethyllysine hydroxylase"
"LOC105394699","LOC105394699","cytochrome P450 6B5-like"
"LOC105394086","LOC105394086","GATOR complex protein NPRL2"
"LOC105393734","LOC105393734","protein lethal(2)essential for life"
"LOC119693029","CPH43","cuticular protein hypothetical 43"
"LOC119693079","LOC119693079","prostaglandin reductase 1"
"LOC105392058","Pdxk","pyridoxal kinase"
"LOC105395214","CYP354A1","cytochrome P450 9e2-like"
"LOC119693069","Agxt","Alanine-glyoxylate aminotransferase"
"LOC105383038","LOC105383038","UDP-glycosyltransferase UGT5"
"LOC105384475","Gart","trifunctional purine biosynthetic protein adenosine-3 Gart"
"LOC105380335","LOC105380335","NFX1-type zinc finger-containing protein 1"
"LOC105383154","LOC105383154","uncharacterized LOC105383154"
"LOC105392958","LOC105392958","putative inorganic phosphate cotransporter"
"LOC105392970","LOC105392970","putative inorganic phosphate cotransporter"
"LOC105393533","LOC105393533","putative inorganic phosphate cotransporter"
"LOC119691146","LOC119691146","uncharacterized LOC119691146"
"LOC105383066","LOC105383066","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
"LOC119694378","LOC119694378","uncharacterized LOC119694378"
"LOC105382150","LOC105382150","odorant receptor 4-like"
"LOC105393123","LOC105393123","uncharacterized LOC105393123"
"LOC105393129","LOC105393129","putative sodium-dependent multivitamin transporter"
"LOC105391885","LOC105391885","bifunctional purine biosynthesis protein ATIC"
"LOC105383334","LOC105383334","fibrillin-1"
"LOC105398573","LOC105398573","alkylglycerol monooxygenase"
"LOC105386601","BckdhB","Branched chain keto acid dehydrogenase E1 subunit beta"
"LOC105380386","LOC105380386","ester hydrolase C11orf54 homolog"
"LOC105386930","Dronc","Death regulator Nedd2-like caspase"
"LOC105382956","LOC105382956","uncharacterized LOC105382956"
"LOC105392161","DNApol-eta","DNA polymerase eta"
"LOC105394192","LOC105394192","23 kDa integral membrane protein"
"LOC105388816","Nos","Nitric oxide synthase"
"LOC105382419","LOC105382419","troponin C"
"LOC105389675","LOC105389675","aquaporin-like"
"LOC105381535","LOC105381535","peroxisomal acyl-coenzyme A oxidase 3"
"LOC105385639","Aldh7A1","aldehyde dehydrogenase 7 family member A1"
"LOC105391178","LOC105391178","uncharacterized LOC105391178"
"LOC125489129","LOC125489129","uncharacterized LOC125489129"
"LOC105397679","LOC105397679","uncharacterized LOC105397679"
"LOC105390045","larp","La related protein"
"LOC105398815","Gtsf1","gametocyte-specific factor 1"
"LOC105392933","LOC105392933","gelsolin-like"
"LOC105390031","IFT43","intraflagellar transport 43"
"LOC105387843","LOC105387843","integrin alpha-PS3"
"LOC119693987","LOC119693987","triokinase/FMN cyclase"
"LOC105381582","LOC105381582","uncharacterized LOC105381582"
"LOC105382860","ry","xanthine dehydrogenase rosy"
"LOC105384189","LOC105384189","muscle-specific protein 20"
"LOC125489233","LOC125489233","uncharacterized LOC125489233"
"LOC105390077","Pgm2a","phosphoglucomutase 2"
"LOC119691468","LOC119691468","uncharacterized LOC119691468"
"LOC105391710","MRP","Multidrug-Resistance like Protein 1"
"LOC105383934","LOC105383934","uncharacterized protein K02A2.6-like"
"LOC105386796","Tsp97E","Tetraspanin 97E"
"LOC105385220","LOC105385220","uncharacterized LOC105385220"
"LOC105384703","SpdS","Spermidine Synthase"
"LOC105396550","Ccdc85","coiled-coil domain-containing protein 85"
"LOC105390386","LOC105390386","acyl-CoA Delta-9 desaturase"
"LOC105384441","LOC105384441","uncharacterized LOC105384441"
"LOC119693642","LOC119693642","uncharacterized LOC119693642"
"LOC105387574","LOC105387574","glycine N-methyltransferase"
"LOC105392519","Urod","uroporphyrinogen decarboxylase"
"LOC105387770","Pp","paralytic peptide"
"LOC105397953","Bcat","Branched chain amino acid transaminase"
"LOC105389511","LOC105389511","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase"
"LOC105385647","LOC105385647","immunoglobulin superfamily member 10"
"LOC105381226","fat-spondin","extracellular matrix protein f-spondin"
"LOC125489452","LOC125489452","uncharacterized LOC125489452"
"LOC105396641","LOC105396641","esterase FE4"
"LOC105395364","Ubr1","Ubr1 ubiquitin ligase"
"LOC105380941","vermilion","Tryptophan 2,3-dioxygenase vermilion"
"LOC119694367","Fa","FMRFamide"
"LOC119694321","LOC119694321","telomere length and silencing protein 1 homolog"
"LOC119693967","LOC119693967","uncharacterized LOC119693967"
"LOC125489422","LOC125489422","uncharacterized LOC125489422"
"LOC105380021","LOC105380021","torso-like protein"
"LOC125489525","LOC125489525","uncharacterized LOC125489525"
"LOC105384146","LOC105384518","uncharacterized LOC105384518"
"LOC105388197","LOC105388197","beta-1,4-glucuronyltransferase 1"
"LOC105387650","LOC105387650","cytochrome b5"
"LOC105398638","LOC105398638","delta-aminolevulinic acid dehydratase"
"LOC105393713","Paics","PAICS bifunctional enzyme"
